Montreal Alouettes,MTL
QB,Darian Durant,34,2005,77,82,84,79,73,85,8.5,2
QB,Vernon Adams,23,2016,100,77,83,79,80,75,7.5,4
RB,Tyrell Sutton,28,2011,82,86,80,91,77,89,3.0,4
RB,Stefan Logan,32,2006,74,81,76,70,89,80,2.5,3
RB,Brandon Rutley,28,2011,78,68,73,70,84,72,0.5,2
RB,Jean Beaulieu,25,2014,69,75,74,66,72,70,0.5,2
WR,BJ Cunningham,28,2011,75,86,80,92,86,87,7.0,4
WR,Nik Lewis,35,2004,80,75,70,80,70,82,3.0,2
WR,Tiquan Underwood,30,2008,68,78,74,80,74,73,1.0,3
WR,Ernest Jackson,30,2008,80,74,76,82,79,80,0.5,2
WR,Alex Pierzchalski,25,2014,96,88,90,59,73,55,0.5,3
WR,George Johnson,23,2016,77,92,64,74,67,59,0.3,2
OL,Philip Blake,31,2007,89,70,84,77,70,94,4.0,4
OL,Luc Brodeur,34,2005,75,78,69,79,87,78,2.0,3
OL,Philippe Gagnon,24,2015,77,82,66,79,82,64,0.5,2
OL,Jovan Olafioye,29,2009,77,66,81,100,74,80,2.0,3
OL,Brian Simmons,32,2007,68,79,81,76,60,72,1.0,1
OL,Matt Vonk,26,2013,79,62,66,83,60,85,0.5,1
OL,Kristian Matte,31,2007,69,62,73,71,77,80,2.0,2
OL,Tim Dexter,27,2011,77,50,52,65,65,64,0.5,1
OL,Ralph Alan,24,2014,94,74,77,65,64,60,0.5,1
OL,Randall Cordell,27,2011,84,50,99,56,61,63,0.5,1
K,Boris Bede,27,2011,83,74,88,92,88,81,0.5,1
K,Nate Johnson,29,2009,55,72,91,69,62,66,0.5,1
S,Daryl Townsend,31,2007,77,63,74,72,74,79,3.0,3
S,Brandon Stewart,31,2007,71,60,61,75,80,64,1.1,1
CB,Ryan Phillips,34,2005,60,83,84,85,75,83,4.0,3
CB,Jonathon Mincy,25,2014,85,89,83,90,84,80,3.6,2
CB,Tyree Hollins,25,2014,76,60,71,75,86,63,3.0,4
CB,Eli Omarr,26,2012,70,74,53,70,72,80,2.4,3
CB,Talin Wayne,25,2013,67,61,50,57,61,57,0.5,1
CB,Kim Andrew,27,2011,81,72,50,59,55,60,0.5,1
DL,John Bowman,34,2005,81,74,82,92,83,85,5.0,4
DL,Don Oramasionwu,31,2007,66,86,76,67,71,81,1.0,3
DL,Keith Shologan,31,2007,81,73,66,70,75,68,1.0,2
DL,Jabar Westerman,28,2011,86,73,55,69,72,71,0.5,4
DL,George Damon,23,2016,98,62,56,68,65,90,2.2,1
DL,Lebron Michael,27,2011,50,72,87,69,65,64,0.5,1
DL,Jamaar Kendrick,23,2015,60,67,59,65,60,55,0.5,1
DL,William Joshua,31,2007,57,63,63,62,57,58,0.5,1
LB,Chip Cox,34,2005,89,86,83,92,84,90,4.0,3
LB,Nicolas Boulay,27,2011,67,82,71,60,70,83,1.0,3
LB,Kyries Hebert,36,2003,82,72,68,81,63,87,0.5,2
LB,Fred Plesius,29,2009,78,81,70,62,69,74,0.5,4
LB,Daniel Michael,22,2016,92,58,90,66,66,63,0.5,1
LB,Andre Randall,32,2006,56,73,66,60,67,68,0.5,1
LB,Malik Jimmy,22,2016,79,72,80,56,64,64,0.5,1
LB,Eli Blewitt,29,2009,65,77,55,58,55,69,0.5,1
END_PLAYERS
Ottawa Redblacks,OTT
QB,Trevor Harris,31,2007,70,77,85,90,91,86,6.0,1
QB,Drew Tate,32,2007,60,63,74,85,71,65,3.0,3
RB,Mossis Madu,29,2009,75,55,66,82,76,83,4.0,2
RB,William Powell,29,2009,76,80,70,71,80,86,2.0,1
RB,Patrick Lavoie,29,2009,80,61,83,65,72,69,0.5,2
RB,Brendab Gillanders,26,2012,64,84,69,67,79,71,0.5,3
WR,Greg Ellingson,28,2010,86,68,76,92,75,88,4.5,2
WR,Brad Sinopoli,29,2009,63,70,86,94,71,81,3.0,4
WR,Joshua Stangby,26,2013,68,72,64,81,67,72,1.0,1
WR,Reggie Wayne,30,2008,72,76,93,63,80,83,2.6,2
WR,Carl Clayton,24,2013,99,64,88,62,69,89,2.6,2
WR,Russell Carnell,32,2006,74,54,66,57,60,58,0.5,1
OL,Jon Gott,31,2007,78,59,79,70,79,82,4.0,3
OL,Jason Lauzon,26,2013,79,71,67,87,77,81,2.5,2
OL,Alex Mateas,26,2013,71,67,86,55,82,82,1.0,1
OL,Sirvincent Rogers,31,2007,74,77,75,86,78,63,1.0,2
OL,Jake Silas,25,2014,83,73,72,58,74,77,2.5,4
OL,Omarr Blewitt,26,2011,70,62,86,68,78,86,2.4,3
OL,Luther Dexter,27,2012,92,79,105,72,77,68,2.2,3
OL,Ryan Dennis,27,2011,60,52,77,61,63,69,0.5,1
OL,Beckham Larry,28,2010,74,59,92,63,59,61,0.5,1
OL,Wendell Dennis,27,2011,59,69,77,60,55,56,0.5,1
K,Brett Maher,27,2011,60,84,68,74,82,84,1.2,4
K,James Justin,22,2016,64,68,67,55,55,59,0.5,1
S,Adam Berger,27,2011,80,72,82,60,84,59,2.0,3
S,Dan West,30,2008,85,68,79,59,74,79,1.1,1
CB,Antoine Pruneau,27,2011,73,82,62,80,79,76,3.0,4
CB,Keelan Johnson,27,2011,76,58,83,64,83,77,1.0,2
CB,Jerrell Gavins,28,2009,64,83,80,79,81,63,2.0,1
CB,Tyree Draymond,25,2013,76,58,93,73,57,85,2.4,3
CB,Tyrell Harold,29,2010,52,74,72,60,80,87,1.9,2
CB,Kendrick Otis,33,2005,74,53,59,55,68,62,0.5,1
DL,Arnaud Gascon,29,2009,63,87,77,75,85,77,4.5,4
DL,Zack Evans,27,2011,65,66,79,77,75,76,3.0,3
DL,Ettore Lattanzio,26,2012,78,81,76,64,70,72,0.5,2
DL,Nigel Romick,26,2012,75,79,74,71,64,71,0.5,1
DL,Justin Rufus,22,2016,76,76,88,76,56,76,2.6,1
DL,Darik Henry,30,2007,77,51,69,68,78,70,1.7,2
DL,Damian Terry,31,2007,80,51,78,64,63,66,0.5,1
DL,James Jordan,30,2008,93,58,90,63,67,66,0.5,1
LB,Rodell Clayton,29,2008,91,56,87,92,80,86,6.4,4
LB,Taylor Reed,25,2013,69,74,67,70,84,76,2.0,1
LB,Roman Adrian,23,2014,57,54,62,74,69,70,2.4,2
LB,Paul Daniel,30,2009,55,71,58,76,57,71,1.9,3
LB,Tyree Terry,27,2011,50,50,53,69,62,57,0.5,1
LB,Beckham Wendell,29,2009,68,72,98,65,57,58,0.5,1
LB,Robert Jerry,29,2009,50,62,88,55,58,69,0.5,1
LB,Nguyen Kendrick,30,2008,93,77,98,55,66,58,0.5,1
END_PLAYERS
Toronto Argonauts,TOR
QB,Ricky Ray,37,2002,77,76,91,83,86,76,14.0,3
QB,Jeff Mathews,25,2014,67,84,65,79,70,76,4.0,4
RB,James Wilder,25,2014,57,62,83,73,72,74,2.0,2
RB,Brandon Whitaker,31,2008,69,65,69,64,75,75,1.0,3
RB,Anthony Coombs,24,2014,78,84,65,63,77,65,2.0,1
RB,James Tuck,27,2011,71,76,83,82,63,71,0.5,3
WR,Sj Green,32,2006,85,91,84,97,87,74,6.0,4
WR,Armanti Edwards,29,2009,70,79,84,70,75,87,4.0,2
WR,Devier Posey,27,2011,77,79,67,75,70,73,2.5,1
WR,Jeff Fuller,27,2011,85,67,79,80,59,66,2.0,2
WR,Kyle Graves,27,2011,78,55,70,60,74,67,0.5,3
WR,Chandler Worthy,23,2015,82,57,73,62,70,67,0.5,4
OL,Tyler Holmes,28,2010,64,87,73,82,78,56,5.5,1
OL,Sean Mcewen,24,2015,62,75,87,60,70,80,3.0,3
OL,Chris Van,33,2004,57,77,83,62,75,85,4.0,2
OL,Brandon Washington,28,2009,62,74,83,65,71,74,2.0,1
OL,Corey Watman,28,2009,82,61,56,84,67,80,2.0,4
OL,Adrian Tre,28,2010,53,61,90,77,67,57,2.0,2
OL,Justin Perry,28,2010,50,57,87,67,68,63,0.5,1
OL,Andrew Tran,24,2014,80,56,88,62,61,67,0.5,1
OL,Luther Wendell,24,2014,50,75,89,56,58,56,0.5,1
K,Lirim Hajrullahu,27,2011,61,69,75,85,82,79,3.1,2
K,Damarco Steven,25,2013,70,67,85,67,59,67,0.5,1
S,Jermaine Gabriel,27,2011,95,67,79,76,84,73,2.0,3
